2024-06-14,24300,24900,23550,23550,17400200,HSG
2024-06-14,5600,5600,5480,5480,80000,HSL
2024-06-14,12000,12750,12000,12750,1906200,HT1
2024-06-14,36200,36200,35700,35700,41300,HTG
2024-06-14,16100,16100,16000,16000,45000,HTI
2024-06-14,18150,18150,18100,18100,200,HTL
2024-06-14,13300,14200,13300,14200,4401400,HTN
2024-06-14,9420,9480,9210,9210,21100,HTV
2024-06-14,18300,18500,18300,18300,77100,HUB
2024-06-14,8189,8330,7790,8050,1498200,HVH
2024-06-14,28900,30900,28900,30600,11335400,HVN
2024-06-14,2970,2990,2860,2920,41100,HVX
2024-06-14,15150,15900,14850,15200,117800,ICT
2024-06-14,12550,12600,12150,12150,2680300,IDI
2024-06-14,15850,15850,15000,15000,6196100,IJC
2024-06-14,33100,33500,33100,33500,7300,ILB
2024-06-14,71700,71700,70400,70400,15800,IMP
2024-06-14,5490,5530,5300,5300,2529800,ITA
2024-06-14,11600,11600,11100,11100,781300,ITC
2024-06-14,17000,17650,17000,17300,637400,ITD
2024-06-14,3810,3830,3710,3710,599100,JVC
2024-06-14,31400,31700,30300,30300,7259100,KBC
2024-06-14,62100,62100,60100,60900,1006800,KDC
2024-06-14,38700,38800,37500,37500,3969100,KDH
2024-06-14,5890,5920,5750,5750,2569400,KHG
2024-06-14,9950,10100,9930,9950,98600,KHP
2024-06-14,3530,3530,3490,3500,66400,KMR
2024-06-14,38800,38800,36250,38800,503500,KOS
2024-06-14,3480,3480,3370,3370,185700,KPF
2024-06-14,22800,23400,22000,22000,3807400,KSB
2024-06-14,20050,20900,20050,20900,200,L10
2024-06-14,15300,15850,15300,15350,7000,LAF
2024-06-14,46800,47500,46400,46700,7000,LBM
2024-06-14,12050,12300,11950,11950,5489800,LCG
2024-06-14,2920,2980,2910,2910,2207700,LDG
2024-06-14,3240,3290,3230,3250,64600,LGL
2024-06-14,38000,38000,36600,36600,614800,LHG
2024-06-14,76900,76900,75000,75200,43200,LIX
2024-06-14,26800,27850,26650,27500,8192100,LPB
2024-06-14,13200,13450,12700,12700,1116700,LSS
2024-06-14,24000,24000,23100,23100,25524200,MBB
2024-06-14,27450,27800,27200,27800,9800,MCP
2024-06-14,11700,11700,11700,11700,100,MDG
2024-06-14,8960,9050,8850,8940,116200,MHC
2024-06-14,21300,21800,21000,21050,765000,MIG
2024-06-14,15250,15250,14800,14800,4989000,MSB
2024-06-14,49200,49550,48000,48000,282500,MSH
2024-06-14,78700,80300,78000,78000,9028100,MSN
2024-06-14,64000,64200,63000,63000,8119800,MWG
2024-06-14,16500,16700,16450,16500,1981200,NAB
2024-06-14,18750,19150,18650,18750,113700,NAF
2024-06-14,17450,17500,16900,17000,6200,NAV
2024-06-14,24050,24250,23700,23700,65200,NBB
2024-06-14,96700,97700,96500,97600,21100,NCT
2024-06-14,30200,30950,29000,29000,1814700,NHA
2024-06-14,18550,18850,18400,18400,771600,NHH
2024-06-14,13000,13000,12000,12650,1600,NHT
2024-06-14,26700,27150,25700,25700,9939100,NKG
2024-06-14,43950,44050,42100,42100,2052300,NLG
2024-06-14,18800,18950,18400,18950,19200,NNC
2024-06-14,7010,7010,6900,6910,196400,NO1
2024-06-14,76000,78600,76000,77100,9700,NSC
2024-06-14,22900,23200,22150,22150,1530500,NT2
2024-06-14,46500,46800,45850,45850,695000,NTL
2024-06-14,14350,14450,14150,14150,12863000,NVL
2024-06-14,7970,7970,7970,7970,400,NVT
2024-06-14,15650,15650,15200,15200,2030100,OCB
2024-06-14,6650,6650,6400,6400,579500,OGC
2024-06-14,24850,24850,24600,24800,4600,OPC
2024-06-14,14900,15000,14350,14350,5891400,ORS
2024-06-14,52300,54000,52300,53000,268300,PAC
2024-06-14,23900,23950,23200,23200,1686400,PAN
2024-06-14,29300,29500,28300,28300,5480500,PC1
2024-06-14,118000,118000,118000,118000,1200,PDN
2024-06-14,26300,26350,25600,25600,7668600,PDR
2024-06-14,30500,30750,28400,28400,2412600,PET
2024-06-14,15600,15600,14550,14700,136500,PGC
2024-06-14,36100,36100,36000,36000,2800,PGD
2024-06-14,24000,24000,23900,23900,4000,PGI
2024-06-14,22800,23000,22800,22900,52300,PGV
2024-06-14,6810,6870,6710,6710,127600,PHC
2024-06-14,62400,63100,61000,61000,332400,PHR
2024-06-14,6050,6210,6050,6210,2800,PIT
2024-06-14,10800,10800,10800,10800,10500,PJT
2024-06-14,5320,5320,5160,5180,44500,PLP
2024-06-14,42200,42550,40500,40500,3495700,PLX
2024-06-14,8280,8280,8280,8280,200,PMG
2024-06-14,8800,9200,8800,9200,5000,PNC
2024-06-14,97300,97300,95800,95800,837500,PNJ
2024-06-14,14150,14200,13750,13750,15722200,POW
2024-06-14,15950,16000,15500,15500,705000,PPC
2024-06-14,6100,6240,6010,6040,1418800,PSH
2024-06-14,76300,76500,73500,73500,145300,PTB
2024-06-14,5750,5770,5610,5610,37600,PTC
